=== Histogram (T=7) ===
p_pi	lambda_pi	delta_pi	count	percent
0.0312500	6	0.2500000	96	0.0000358%
0.0312500	6	0.2656250	80	0.0000298%
0.0312500	6	0.2812500	112	0.0000417%
0.0312500	6	0.2968750	32	0.0000119%
0.0312500	6	0.3281250	16	0.0000060%
0.0312500	7	0.2500000	16	0.0000060%
0.0312500	7	0.2656250	80	0.0000298%
0.0312500	7	0.2812500	32	0.0000119%
0.0390625	3	0.2500000	144	0.0000536%
0.0390625	3	0.2656250	496	0.0001848%
0.0390625	3	0.2812500	528	0.0001967%
0.0390625	3	0.2968750	336	0.0001252%
0.0390625	3	0.3125000	176	0.0000656%
0.0390625	3	0.3281250	16	0.0000060%
0.0390625	3	0.3437500	32	0.0000119%
0.0390625	3	0.3593750	16	0.0000060%
0.0390625	3	0.3750000	144	0.0000536%
0.0390625	3	0.5000000	384	0.0001431%
0.0390625	4	0.2500000	2880	0.0010729%
0.0390625	4	0.2656250	14048	0.0052333%
0.0390625	4	0.2812500	21888	0.0081539%
0.0390625	4	0.2968750	9632	0.0035882%
0.0390625	4	0.3125000	17280	0.0064373%
0.0390625	4	0.3281250	1648	0.0006139%
0.0390625	4	0.3437500	3184	0.0011861%
0.0390625	4	0.3593750	320	0.0001192%
0.0390625	4	0.3750000	6704	0.0024974%
0.0390625	4	0.3906250	80	0.0000298%
0.0390625	4	0.4062500	624	0.0002325%
0.0390625	4	0.4218750	16	0.0000060%
0.0390625	4	0.4375000	368	0.0001371%
0.0390625	4	0.4687500	64	0.0000238%
0.0390625	4	0.5000000	1952	0.0007272%
0.0390625	5	0.2343750	48	0.0000179%
0.0390625	5	0.2500000	18192	0.0067770%
0.0390625	5	0.2656250	90496	0.0337124%
0.0390625	5	0.2812500	121504	0.0452638%
0.0390625	5	0.2968750	60640	0.0225902%
0.0390625	5	0.3125000	67808	0.0252604%
0.0390625	5	0.3281250	11312	0.0042140%
0.0390625	5	0.3437500	8976	0.0033438%
0.0390625	5	0.3593750	1408	0.0005245%
0.0390625	5	0.3750000	23920	0.0089109%
0.0390625	5	0.3906250	288	0.0001073%
0.0390625	5	0.4062500	704	0.0002623%
0.0390625	5	0.4218750	64	0.0000238%
0.0390625	5	0.4375000	1152	0.0004292%
0.0390625	5	0.4531250	32	0.0000119%
0.0390625	5	0.4687500	48	0.0000179%
0.0390625	5	0.5000000	5024	0.0018716%
0.0390625	5	0.5312500	16	0.0000060%
0.0390625	6	0.2343750	10624	0.0039577%
0.0390625	6	0.2500000	1461424	0.5444229%
0.0390625	6	0.2656250	6541840	2.4370253%
0.0390625	6	0.2812500	7293344	2.7169824%
0.0390625	6	0.2968750	3557632	1.3253212%
0.0390625	6	0.3125000	2168688	0.8078992%
0.0390625	6	0.3281250	546704	0.2036631%
0.0390625	6	0.3437500	309392	0.1152575%
0.0390625	6	0.3593750	75536	0.0281394%
0.0390625	6	0.3750000	272176	0.1013935%
0.0390625	6	0.3906250	13392	0.0049889%
0.0390625	6	0.4062500	14800	0.0055134%
0.0390625	6	0.4218750	3696	0.0013769%
0.0390625	6	0.4375000	16864	0.0062823%
0.0390625	6	0.4531250	304	0.0001132%
0.0390625	6	0.4687500	2496	0.0009298%
0.0390625	6	0.5000000	23760	0.0088513%
