=== Histogram of combinations (T=9) ===
p_pi	lambda_pi	delta_pi	count	percent
0.0312500	4	0.2656250	16	0.0000%
0.0312500	4	0.2812500	16	0.0000%
0.0312500	5	0.2500000	80	0.0000%
0.0312500	5	0.2656250	144	0.0000%
0.0312500	5	0.2812500	64	0.0000%
0.0312500	5	0.2968750	64	0.0000%
0.0312500	5	0.3125000	48	0.0000%
0.0312500	5	0.3750000	32	0.0000%
0.0312500	6	0.2343750	3536	0.0000%
0.0312500	6	0.2500000	122320	0.0002%
0.0312500	6	0.2656250	277056	0.0004%
0.0312500	6	0.2812500	172432	0.0003%
0.0312500	6	0.2968750	61728	0.0001%
0.0312500	6	0.3125000	17664	0.0000%
0.0312500	6	0.3281250	4160	0.0000%
0.0312500	6	0.3437500	944	0.0000%
0.0312500	6	0.3593750	144	0.0000%
0.0312500	6	0.3750000	304	0.0000%
0.0312500	6	0.3906250	32	0.0000%
0.0312500	7	0.2343750	1200	0.0000%
0.0312500	7	0.2500000	45008	0.0001%
0.0312500	7	0.2656250	106272	0.0002%
0.0312500	7	0.2812500	65984	0.0001%
0.0312500	7	0.2968750	22880	0.0000%
0.0312500	7	0.3125000	6560	0.0000%
0.0312500	7	0.3281250	1552	0.0000%
0.0312500	7	0.3437500	496	0.0000%
0.0312500	7	0.3593750	48	0.0000%
0.0312500	7	0.3750000	48	0.0000%
0.0390625	2	0.2500000	320	0.0000%
0.0390625	2	0.2656250	1552	0.0000%
0.0390625	2	0.2812500	1888	0.0000%
0.0390625	2	0.2968750	1184	0.0000%
0.0390625	2	0.3125000	496	0.0000%
0.0390625	2	0.3281250	144	0.0000%
0.0390625	2	0.3437500	112	0.0000%
0.0390625	2	0.3593750	48	0.0000%
0.0390625	2	0.3750000	32	0.0000%
0.0390625	2	0.4062500	16	0.0000%
0.0390625	2	0.4375000	16	0.0000%
0.0390625	2	0.5000000	2848	0.0000%
0.0390625	3	0.2500000	22080	0.0000%
0.0390625	3	0.2656250	95808	0.0001%
0.0390625	3	0.2812500	97600	0.0001%
0.0390625	3	0.2968750	45760	0.0001%
0.0390625	3	0.3125000	25584	0.0000%
0.0390625	3	0.3281250	6336	0.0000%
0.0390625	3	0.3437500	4256	0.0000%
0.0390625	3	0.3593750	1008	0.0000%
0.0390625	3	0.3750000	76976	0.0001%
0.0390625	3	0.3906250	160	0.0000%
0.0390625	3	0.4062500	240	0.0000%
0.0390625	3	0.4218750	48	0.0000%
0.0390625	3	0.4375000	832	0.0000%
0.0390625	3	0.4531250	32	0.0000%
0.0390625	3	0.4687500	80	0.0000%
0.0390625	3	0.5000000	96048	0.0001%
0.0390625	3	0.5312500	16	0.0000%
0.0390625	4	0.2343750	496	0.0000%
0.0390625	4	0.2500000	412336	0.0006%
0.0390625	4	0.2656250	1675744	0.0024%
0.0390625	4	0.2812500	1986912	0.0029%
0.0390625	4	0.2968750	864784	0.0013%
0.0390625	4	0.3125000	1623664	0.0024%
0.0390625	4	0.3281250	152848	0.0002%
0.0390625	4	0.3437500	216336	0.0003%
0.0390625	4	0.3593750	20912	0.0000%
0.0390625	4	0.3750000	838576	0.0012%
0.0390625	4	0.3906250	4384	0.0000%
0.0390625	4	0.4062500	78208	0.0001%
0.0390625	4	0.4218750	1056	0.0000%
0.0390625	4	0.4375000	59088	0.0001%
0.0390625	4	0.4531250	336	0.0000%
0.0390625	4	0.4687500	10928	0.0000%
0.0390625	4	0.4843750	16	0.0000%
0.0390625	4	0.5000000	296640	0.0004%
0.0390625	4	0.5156250	16	0.0000%
0.0390625	4	0.5312500	32	0.0000%
0.0390625	4	0.5625000	96	0.0000%
0.0390625	4	0.6250000	864	0.0000%
0.0390625	5	0.2343750	8208	0.0000%
0.0390625	5	0.2500000	2790432	0.0041%
0.0390625	5	0.2656250	11371792	0.0165%
0.0390625	5	0.2812500	13073424	0.0190%
0.0390625	5	0.2968750	5730432	0.0083%
0.0390625	5	0.3125000	6637104	0.0097%
0.0390625	5	0.3281250	876608	0.0013%
0.0390625	5	0.3437500	823648	0.0012%
0.0390625	5	0.3593750	122240	0.0002%
0.0390625	5	0.3750000	2768864	0.0040%
0.0390625	5	0.3906250	24688	0.0000%
0.0390625	5	0.4062500	81568	0.0001%
0.0390625	5	0.4218750	5104	0.0000%
0.0390625	5	0.4375000	166656	0.0002%
0.0390625	5	0.4531250	1184	0.0000%
0.0390625	5	0.4687500	10928	0.0000%
0.0390625	5	0.4843750	208	0.0000%
0.0390625	5	0.5000000	801856	0.0012%
0.0390625	5	0.5156250	16	0.0000%
0.0390625	5	0.5312500	928	0.0000%
0.0390625	5	0.5625000	3328	0.0000%
0.0390625	5	0.6250000	1280	0.0000%
0.0390625	6	0.2187500	240	0.0000%
0.0390625	6	0.2343750	20400320	0.0297%
0.0390625	6	0.2500000	1573613136	2.2899%
0.0390625	6	0.2656250	5671421840	8.2530%
0.0390625	6	0.2812500	4916087968	7.1538%
0.0390625	6	0.2968750	2116620128	3.0801%
0.0390625	6	0.3125000	818363456	1.1909%
0.0390625	6	0.3281250	220314512	0.3206%
0.0390625	6	0.3437500	85467104	0.1244%
0.0390625	6	0.3593750	20898624	0.0304%
0.0390625	6	0.3750000	40692416	0.0592%
0.0390625	6	0.3906250	2899120	0.0042%
0.0390625	6	0.4062500	3194704	0.0046%
0.0390625	6	0.4218750	661360	0.0010%
0.0390625	6	0.4375000	2616176	0.0038%
0.0390625	6	0.4531250	87136	0.0001%
0.0390625	6	0.4687500	293152	0.0004%
0.0390625	6	0.4843750	19296	0.0000%
0.0390625	6	0.5000000	5628320	0.0082%
0.0390625	6	0.5156250	11328	0.0000%
0.0390625	6	0.5312500	13504	0.0000%
0.0390625	6	0.5468750	720	0.0000%
0.0390625	6	0.5625000	36320	0.0001%
0.0390625	6	0.5781250	240	0.0000%
0.0390625	6	0.5937500	1696	0.0000%
0.0390625	6	0.6093750	16	0.0000%
0.0390625	6	0.6250000	9776	0.0000%
0.0390625	6	0.6875000	192	0.0000%
0.0390625	6	0.7500000	176	0.0000%
0.0390625	7	0.2187500	64	0.0000%
0.0390625	7	0.2343750	7884496	0.0115%
0.0390625	7	0.2500000	574468112	0.8360%
0.0390625	7	0.2656250	2075863440	3.0208%
0.0390625	7	0.2812500	1741036928	2.5335%
0.0390625	7	0.2968750	757495840	1.1023%
0.0390625	7	0.3125000	264853056	0.3854%
0.0390625	7	0.3281250	76426944	0.1112%
0.0390625	7	0.3437500	24937744	0.0363%
0.0390625	7	0.3593750	6899776	0.0100%
0.0390625	7	0.3750000	7183152	0.0105%
0.0390625	7	0.3906250	898816	0.0013%
0.0390625	7	0.4062500	633344	0.0009%
0.0390625	7	0.4218750	213456	0.0003%
0.0390625	7	0.4375000	415904	0.0006%
0.0390625	7	0.4531250	26128	0.0000%
0.0390625	7	0.4687500	49040	0.0001%
0.0390625	7	0.4843750	5632	0.0000%
0.0390625	7	0.5000000	591408	0.0009%
0.0390625	7	0.5156250	3392	0.0000%
0.0390625	7	0.5312500	2240	0.0000%
0.0390625	7	0.5468750	192	0.0000%
0.0390625	7	0.5625000	4576	0.0000%
0.0390625	7	0.5781250	128	0.0000%
0.0390625	7	0.5937500	272	0.0000%
0.0390625	7	0.6250000	1680	0.0000%
0.0468750	1	1.0000000	34432	0.0001%
0.0468750	2	0.2500000	4928	0.0000%
0.0468750	2	0.2656250	28576	0.0000%
0.0468750	2	0.2812500	36640	0.0001%
0.0468750	2	0.2968750	22192	0.0000%
0.0468750	2	0.3125000	13936	0.0000%
0.0468750	2	0.3281250	4496	0.0000%
0.0468750	2	0.3437500	2928	0.0000%
0.0468750	2	0.3593750	1008	0.0000%
0.0468750	2	0.3750000	1808	0.0000%
0.0468750	2	0.3906250	416	0.0000%
0.0468750	2	0.4062500	464	0.0000%
0.0468750	2	0.4218750	112	0.0000%
0.0468750	2	0.4375000	208	0.0000%
0.0468750	2	0.4531250	32	0.0000%
0.0468750	2	0.4687500	112	0.0000%
0.0468750	2	0.5000000	1213232	0.0018%
0.0468750	2	0.5312500	96	0.0000%
0.0468750	2	0.5937500	16	0.0000%
0.0468750	3	0.2500000	131888	0.0002%
0.0468750	3	0.2656250	697872	0.0010%
0.0468750	3	0.2812500	913584	0.0013%
0.0468750	3	0.2968750	502928	0.0007%
0.0468750	3	0.3125000	373024	0.0005%
0.0468750	3	0.3281250	103264	0.0002%
0.0468750	3	0.3437500	81728	0.0001%
0.0468750	3	0.3593750	21024	0.0000%
0.0468750	3	0.3750000	1292224	0.0019%
0.0468750	3	0.3906250	8400	0.0000%
0.0468750	3	0.4062500	13264	0.0000%
0.0468750	3	0.4218750	2832	0.0000%
0.0468750	3	0.4375000	18816	0.0000%
0.0468750	3	0.4531250	544	0.0000%
0.0468750	3	0.4687500	2704	0.0000%
0.0468750	3	0.4843750	176	0.0000%
0.0468750	3	0.5000000	4685424	0.0068%
0.0468750	3	0.5156250	128	0.0000%
0.0468750	3	0.5312500	928	0.0000%
0.0468750	3	0.5468750	80	0.0000%
0.0468750	3	0.5625000	1152	0.0000%
0.0468750	3	0.5781250	16	0.0000%
0.0468750	3	0.5937500	64	0.0000%
0.0468750	3	0.6250000	608	0.0000%
0.0468750	3	0.6875000	16	0.0000%
0.0468750	3	0.7500000	4608	0.0000%
0.0468750	4	0.2343750	976	0.0000%
0.0468750	4	0.2500000	1407360	0.0020%
0.0468750	4	0.2656250	7283856	0.0106%
0.0468750	4	0.2812500	10431328	0.0152%
0.0468750	4	0.2968750	5444112	0.0079%
0.0468750	4	0.3125000	10220912	0.0149%
0.0468750	4	0.3281250	1338608	0.0019%
0.0468750	4	0.3437500	1572256	0.0023%
0.0468750	4	0.3593750	257584	0.0004%
0.0468750	4	0.3750000	7965600	0.0116%
0.0468750	4	0.3906250	86752	0.0001%
0.0468750	4	0.4062500	709408	0.0010%
0.0468750	4	0.4218750	29680	0.0000%
